datetime,count
2011-01-20 00:00:00,11.12
2011-01-20 01:00:00,5.49
2011-01-20 02:00:00,4.52
2011-01-20 03:00:00,3.78
2011-01-20 04:00:00,3.24
2011-01-20 05:00:00,5.11
2011-01-20 06:00:00,35.29
2011-01-20 07:00:00,90.66
2011-01-20 08:00:00,190.05
2011-01-20 09:00:00,114.3
2011-01-20 10:00:00,64.556
2011-01-20 11:00:00,64.02
2011-01-20 12:00:00,78.16
2011-01-20 13:00:00,75.4
2011-01-20 14:00:00,76.51
2011-01-20 15:00:00,76.15
2011-01-20 16:00:00,90.86
2011-01-20 17:00:00,200.03
2011-01-20 18:00:00,179.76
2011-01-20 19:00:00,100.2
2011-01-20 20:00:00,73.94
2011-01-20 21:00:00,48.61
2011-01-20 22:00:00,42.19
2011-01-20 23:00:00,21.91
2011-01-21 00:00:00,10.07
2011-01-21 01:00:00,5.36
2011-01-21 02:00:00,5.37
2011-01-21 03:00:00,2.250666666666667
2011-01-21 04:00:00,2.09
2011-01-21 05:00:00,3.27
2011-01-21 06:00:00,36.05
2011-01-21 07:00:00,92.68
2011-01-21 08:00:00,191.72
2011-01-21 09:00:00,116.94
2011-01-21 10:00:00,44.06
2011-01-21 11:00:00,61.79
2011-01-21 12:00:00,68.585
2011-01-21 13:00:00,65.82
2011-01-21 14:00:00,63.7
2011-01-21 15:00:00,62.53
2011-01-21 16:00:00,74.89
2011-01-21 17:00:00,147.81
2011-01-21 18:00:00,149.45
2011-01-21 19:00:00,102.92
2011-01-21 20:00:00,61.66
2011-01-21 21:00:00,43.21
2011-01-21 22:00:00,30.18
2011-01-21 23:00:00,17.98
2011-01-22 00:00:00,23.86
2011-01-22 01:00:00,17.39
2011-01-22 02:00:00,13.68
2011-01-22 03:00:00,6.18
2011-01-22 04:00:00,2.7
2011-01-22 06:00:00,3.01
2011-01-22 07:00:00,24.56
2011-01-22 08:00:00,37.62
2011-01-22 09:00:00,45.92
2011-01-22 10:00:00,60.85
2011-01-22 11:00:00,65.23
2011-01-22 12:00:00,74.11
2011-01-22 13:00:00,82.4
2011-01-22 14:00:00,78.26
2011-01-22 15:00:00,77.39
2011-01-22 16:00:00,78.84
2011-01-22 17:00:00,84.45
2011-01-22 18:00:00,61.82
2011-01-22 19:00:00,44.6
2011-01-22 20:00:00,37.36
2011-01-22 21:00:00,29.95
2011-01-22 22:00:00,19.89
2011-01-22 23:00:00,13.7
2011-01-23 00:00:00,26.14
2011-01-23 01:00:00,20.08
2011-01-23 02:00:00,13.82
2011-01-23 03:00:00,12.03
2011-01-23 05:00:00,3.34
2011-01-23 06:00:00,2.06
2011-01-23 07:00:00,12.49
2011-01-23 08:00:00,26.05
2011-01-23 09:00:00,39.76
2011-01-23 10:00:00,59.31
2011-01-23 11:00:00,64.47
2011-01-23 12:00:00,71.12
